Date,Close/Last,Volume,Open,High,Low
12/14/2020,$103.32,5156155,$103.83,$104.71,$103.25
12/11/2020,$103.00,6262636,$104.41,$104.78,$102.33
12/10/2020,$105.39,12939180,$103.51,$106.09,$102.75
12/09/2020,$100.40,6629890,$101.94,$102.21,$100.10
12/08/2020,$101.21,3911250,$100.37,$101.57,$100.01
12/07/2020,$101.41,4514754,$102.01,$102.22,$100.69
12/04/2020,$102.28,6952704,$101.35,$102.94,$101.07
12/03/2020,$100.11,6264077,$99.02,$101.00,$98.97
12/02/2020,$98.91,3377940,$98.51,$99.04,$98.21
12/01/2020,$98.82,4970293,$99.00,$99.26,$98.25
11/30/2020,$98.02,5197253,$98.20,$98.29,$96.96
11/27/2020,$98.66,2169708,$98.48,$98.98,$98.28
11/25/2020,$98.20,4027147,$98.50,$98.54,$97.94
11/24/2020,$98.30,6323025,$97.51,$98.72,$97.40
11/23/2020,$96.88,4805779,$97.62,$97.86,$96.42
11/20/2020,$97.01,4610081,$97.42,$97.54,$96.95
11/19/2020,$97.76,4252272,$97.24,$97.92,$96.86
11/18/2020,$97.91,6039520,$98.63,$99.33,$97.91
11/17/2020,$98.60,8722293,$97.21,$98.78,$96.81
11/16/2020,$97.78,9367636,$96.79,$97.81,$96.02
11/13/2020,$95.56,5518003,$94.38,$95.59,$93.70
11/12/2020,$93.53,7061844,$94.66,$94.76,$92.66
11/11/2020,$95.04,8296547,$94.11,$95.83,$94.02
11/10/2020,$93.92,10474700,$93.74,$95.27,$93.14
11/09/2020,$95.88,16225770,$97.32,$97.65,$95.64
11/06/2020,$90.65,6626107,$90.15,$91.20,$89.78
11/05/2020,$90.62,6169717,$90.69,$91.16,$89.90
11/04/2020,$89.79,10509390,$88.90,$91.29,$88.74
11/03/2020,$88.39,6910439,$86.78,$89.06,$86.18
11/02/2020,$85.97,8904850,$87.54,$87.77,$85.45
10/30/2020,$86.96,11402800,$87.75,$88.39,$85.63
10/29/2020,$88.30,8440044,$87.17,$89.11,$86.61
10/28/2020,$87.17,12738750,$88.65,$88.95,$86.61
10/27/2020,$90.05,8027508,$89.48,$90.35,$89.17
